product_id,product_code,barcode,product_name,generic_name,brand,category,strength,reference_unit_price
PRD-0044,PC-AUR0044,2000000004402,AURORA Whiteboard Marker 12 IN,Whiteboard Marker 12 IN,AURORA,Office Supplies,12 IN,38.93
PRD-0045,PC-NEX0045,2000000004501,NEXUS Whiteboard Marker 45 CM,Whiteboard Marker 45 CM,NEXUS,Office Supplies,45 CM,29.55
PRD-0046,PC-ZEN0046,2000000004600,ZENITH Tape Dispenser 250 ML,Tape Dispenser 250 ML,ZENITH,Office Supplies,250 ML,27.78
PRD-0047,PC-AUR0047,2000000004709,AURORA Tape Dispenser 45 CM,Tape Dispenser 45 CM,AURORA,Office Supplies,45 CM,2.08
PRD-0048,PC-NEX0048,2000000004808,NEXUS Tape Dispenser 3 V,Tape Dispenser 3 V,NEXUS,Office Supplies,3 V,64.25
PRD-0049,PC-ZEN0049,2000000004907,ZENITH USB Cable 1 KG,USB Cable 1 KG,ZENITH,Electronics Accessories,1 KG,50.47
PRD-0050,PC-AUR0050,2000000005003,AURORA USB Cable 10000 MAH,USB Cable 10000 MAH,AURORA,Electronics Accessories,10000 MAH,3.09
PRD-0051,PC-NEX0051,2000000005102,NEXUS USB Cable 500 MG,USB Cable 500 MG,NEXUS,Electronics Accessories,500 MG,94.26
PRD-0052,PC-ZEN0052,2000000005201,ZENITH Power Adapter 20 W,Power Adapter 20 W,ZENITH,Electronics Accessories,20 W,45.35
PRD-0053,PC-AUR0053,2000000005300,AURORA Power Adapter 1 L,Power Adapter 1 L,AURORA,Electronics Accessories,1 L,43.8
PRD-0054,PC-NEX0054,2000000005409,NEXUS Power Adapter 500 ML,Power Adapter 500 ML,NEXUS,Electronics Accessories,500 ML,16.51
PRD-0055,PC-ZEN0055,2000000005508,ZENITH Phone Case 250 MG,Phone Case 250 MG,ZENITH,Electronics Accessories,250 MG,52.62
PRD-0056,PC-AUR0056,2000000005607,AURORA Phone Case 20 W,Phone Case 20 W,AURORA,Electronics Accessories,20 W,16.68
PRD-0057,PC-NEX0057,2000000005706,NEXUS Phone Case 1 L,Phone Case 1 L,NEXUS,Electronics Accessories,1 L,31.73
PRD-0058,PC-ZEN0058,2000000005805,ZENITH Screen Protector 3 V,Screen Protector 3 V,ZENITH,Electronics Accessories,3 V,72.97
PRD-0059,PC-AUR0059,2000000005904,AURORA Screen Protector 45 CM,Screen Protector 45 CM,AURORA,Electronics Accessories,45 CM,61.8
PRD-0060,PC-NEX0060,2000000006000,NEXUS Screen Protector 10 IN,Screen Protector 10 IN,NEXUS,Electronics Accessories,10 IN,85.32
PRD-0061,PC-ZEN0061,2000000006109,ZENITH Battery Pack 200 G,Battery Pack 200 G,ZENITH,Electronics Accessories,200 G,64.09
PRD-0062,PC-AUR0062,2000000006208,AURORA Battery Pack 2000 MAH,Battery Pack 2000 MAH,AURORA,Electronics Accessories,2000 MAH,70.05
PRD-0063,PC-NEX0063,2000000006307,NEXUS Battery Pack 10 W,Battery Pack 10 W,NEXUS,Electronics Accessories,10 W,96.31
PRD-0064,PC-ZEN0064,2000000006406,ZENITH Charging Dock 15 W,Charging Dock 15 W,ZENITH,Electronics Accessories,15 W,60.18
PRD-0065,PC-AUR0065,2000000006505,AURORA Charging Dock 3 V,Charging Dock 3 V,AURORA,Electronics Accessories,3 V,17.05
PRD-0066,PC-NEX0066,2000000006604,NEXUS Charging Dock 5000 MAH,Charging Dock 5000 MAH,NEXUS,Electronics Accessories,5000 MAH,55.19
PRD-0067,PC-ZEN0067,2000000006703,ZENITH HDMI Cable 1 KG,HDMI Cable 1 KG,ZENITH,Electronics Accessories,1 KG,57.46
PRD-0068,PC-AUR0068,2000000006802,AURORA HDMI Cable 10000 MAH,HDMI Cable 10000 MAH,AURORA,Electronics Accessories,10000 MAH,38.83
PRD-0069,PC-NEX0069,2000000006901,NEXUS HDMI Cable 1.5 L,HDMI Cable 1.5 L,NEXUS,Electronics Accessories,1.5 L,45.41
PRD-0070,PC-ZEN0070,2000000007007,ZENITH Mouse Pad 200 G,Mouse Pad 200 G,ZENITH,Electronics Accessories,200 G,113.79
PRD-0071,PC-AUR0071,2000000007106,AURORA Mouse Pad 50 G,Mouse Pad 50 G,AURORA,Electronics Accessories,50 G,17.32
PRD-0072,PC-NEX0072,2000000007205,NEXUS Mouse Pad 100 G,Mouse Pad 100 G,NEXUS,Electronics Accessories,100 G,43.98
PRD-0073,PC-ZEN0073,2000000007304,ZENITH Hand Soap 250 MG,Hand Soap 250 MG,ZENITH,Personal Care,250 MG,22.6
PRD-0074,PC-AUR0074,2000000007403,AURORA Hand Soap 1.5 V,Hand Soap 1.5 V,AURORA,Personal Care,1.5 V,72.37
PRD-0075,PC-NEX0075,2000000007502,NEXUS Hand Soap 10000 MAH,Hand Soap 10000 MAH,NEXUS,Personal Care,10000 MAH,69.45
PRD-0076,PC-ZEN0076,2000000007601,ZENITH Shampoo 200 G,Shampoo 200 G,ZENITH,Personal Care,200 G,12.26
PRD-0077,PC-AUR0077,2000000007700,AURORA Shampoo 1 KG,Shampoo 1 KG,AURORA,Personal Care,1 KG,106.6
PRD-0078,PC-NEX0078,2000000007809,NEXUS Shampoo 500 ML,Shampoo 500 ML,NEXUS,Personal Care,500 ML,118.47
PRD-0079,PC-ZEN0079,2000000007908,ZENITH Body Wash 200 G,Body Wash 200 G,ZENITH,Personal Care,200 G,74.3
PRD-0080,PC-AUR0080,2000000008004,AURORA Body Wash 500 MG,Body Wash 500 MG,AURORA,Personal Care,500 MG,11.65
PRD-0081,PC-NEX0081,2000000008103,NEXUS Body Wash 500 G,Body Wash 500 G,NEXUS,Personal Care,500 G,56.38
PRD-0082,PC-ZEN0082,2000000008202,ZENITH Toothpaste 500 MG,Toothpaste 500 MG,ZENITH,Personal Care,500 MG,92.36
PRD-0083,PC-AUR0083,2000000008301,AURORA Toothpaste 3 V,Toothpaste 3 V,AURORA,Personal Care,3 V,47.14
PRD-0084,PC-NEX0084,2000000008400,NEXUS Toothpaste 15 W,Toothpaste 15 W,NEXUS,Personal Care,15 W,33.06
PRD-0085,PC-ZEN0085,2000000008509,ZENITH Deodorant 200 G,Deodorant 200 G,ZENITH,Personal Care,200 G,86.39
PRD-0086,PC-AUR0086,2000000008608,AURORA Deodorant 500 G,Deodorant 500 G,AURORA,Personal Care,500 G,52.31
PRD-0087,PC-NEX0087,2000000008707,NEXUS Deodorant 9 V,Deodorant 9 V,NEXUS,Personal Care,9 V,116.64
PRD-0088,PC-ZEN0088,2000000008806,ZENITH Face Cream 30 CM,Face Cream 30 CM,ZENITH,Personal Care,30 CM,2.66
PRD-0089,PC-AUR0089,2000000008905,AURORA Face Cream 500 ML,Face Cream 500 ML,AURORA,Personal Care,500 ML,50.06
PRD-0090,PC-NEX0090,2000000009001,NEXUS Face Cream 100 MG,Face Cream 100 MG,NEXUS,Personal Care,100 MG,20.0
PRD-0091,PC-ZEN0091,2000000009100,ZENITH Hair Gel 1.5 L,Hair Gel 1.5 L,ZENITH,Personal Care,1.5 L,87.74
PRD-0092,PC-AUR0092,2000000009209,AURORA Hair Gel 100 MG,Hair Gel 100 MG,AURORA,Personal Care,100 MG,64.67
PRD-0093,PC-NEX0093,2000000009308,NEXUS Hair Gel 10 W,Hair Gel 10 W,NEXUS,Personal Care,10 W,27.25
PRD-0094,PC-ZEN0094,2000000009407,ZENITH Lotion 10000 MAH,Lotion 10000 MAH,ZENITH,Personal Care,10000 MAH,9.96
PRD-0095,PC-AUR0095,2000000009506,AURORA Lotion 1 KG,Lotion 1 KG,AURORA,Personal Care,1 KG,117.25
PRD-0096,PC-NEX0096,2000000009605,NEXUS Lotion 1 KG,Lotion 1 KG,NEXUS,Personal Care,1 KG,25.67
PRD-0097,PC-ZEN0097,2000000009704,ZENITH Cutting Board 5 W,Cutting Board 5 W,ZENITH,Kitchen,5 W,15.99
PRD-0098,PC-AUR0098,2000000009803,AURORA Cutting Board 10 IN,Cutting Board 10 IN,AURORA,Kitchen,10 IN,17.09
PRD-0099,PC-NEX0099,2000000009902,NEXUS Cutting Board 500 ML,Cutting Board 500 ML,NEXUS,Kitchen,500 ML,112.85
PRD-0100,PC-ZEN0100,2000000010007,ZENITH Mixing Bowl Set 250 ML,Mixing Bowl Set 250 ML,ZENITH,Kitchen,250 ML,63.15
PRD-0101,PC-AUR0101,2000000010106,AURORA Mixing Bowl Set 100 MG,Mixing Bowl Set 100 MG,AURORA,Kitchen,100 MG,113.58
PRD-0102,PC-NEX0102,2000000010205,NEXUS Mixing Bowl Set 15 W,Mixing Bowl Set 15 W,NEXUS,Kitchen,15 W,58.6
PRD-0103,PC-ZEN0103,2000000010304,ZENITH Measuring Cup 10000 MAH,Measuring Cup 10000 MAH,ZENITH,Kitchen,10000 MAH,7.51
PRD-0104,PC-AUR0104,2000000010403,AURORA Measuring Cup 10000 MAH,Measuring Cup 10000 MAH,AURORA,Kitchen,10000 MAH,68.42
PRD-0105,PC-NEX0105,2000000010502,NEXUS Measuring Cup 100 G,Measuring Cup 100 G,NEXUS,Kitchen,100 G,109.25
PRD-0106,PC-ZEN0106,2000000010601,ZENITH Spatula Set 1 KG,Spatula Set 1 KG,ZENITH,Kitchen,1 KG,23.7
PRD-0107,PC-AUR0107,2000000010700,AURORA Spatula Set 9 V,Spatula Set 9 V,AURORA,Kitchen,9 V,5.81
PRD-0108,PC-NEX0108,2000000010809,NEXUS Spatula Set 500 MG,Spatula Set 500 MG,NEXUS,Kitchen,500 MG,103.62
PRD-0109,PC-ZEN0109,2000000010908,ZENITH Storage Container 20 W,Storage Container 20 W,ZENITH,Kitchen,20 W,89.13
PRD-0110,PC-AUR0110,2000000011004,AURORA Storage Container 5 W,Storage Container 5 W,AURORA,Kitchen,5 W,44.62
PRD-0111,PC-NEX0111,2000000011103,NEXUS Storage Container 500 G,Storage Container 500 G,NEXUS,Kitchen,500 G,61.14
PRD-0112,PC-ZEN0112,2000000011202,ZENITH Kitchen Towel 30 CM,Kitchen Towel 30 CM,ZENITH,Kitchen,30 CM,100.54
PRD-0113,PC-AUR0113,2000000011301,AURORA Kitchen Towel 20 W,Kitchen Towel 20 W,AURORA,Kitchen,20 W,71.36
PRD-0114,PC-NEX0114,2000000011400,NEXUS Kitchen Towel 10 W,Kitchen Towel 10 W,NEXUS,Kitchen,10 W,24.94
PRD-0115,PC-ZEN0115,2000000011509,ZENITH Can Opener 2000 MAH,Can Opener 2000 MAH,ZENITH,Kitchen,2000 MAH,64.41
PRD-0116,PC-AUR0116,2000000011608,AURORA Can Opener 500 MG,Can Opener 500 MG,AURORA,Kitchen,500 MG,80.59
PRD-0117,PC-NEX0117,2000000011707,NEXUS Can Opener 5 W,Can Opener 5 W,NEXUS,Kitchen,5 W,60.46
PRD-0118,PC-ZEN0118,2000000011806,ZENITH Peeler 750 ML,Peeler 750 ML,ZENITH,Kitchen,750 ML,28.05
PRD-0119,PC-AUR0119,2000000011905,AURORA Peeler 100 MG,Peeler 100 MG,AURORA,Kitchen,100 MG,13.3
PRD-0120,PC-NEX0120,2000000012001,NEXUS Peeler 30 CM,Peeler 30 CM,NEXUS,Kitchen,30 CM,95.85
PRD-0121,PC-ZEN0121,2000000012100,ZENITH Notebook 1 L,Notebook 1 L,ZENITH,Stationery,1 L,21.42
PRD-0122,PC-AUR0122,2000000012209,AURORA Notebook 5000 MAH,Notebook 5000 MAH,AURORA,Stationery,5000 MAH,31.9
PRD-0123,PC-NEX0123,2000000012308,NEXUS Notebook 3 V,Notebook 3 V,NEXUS,Stationery,3 V,15.38
PRD-0124,PC-ZEN0124,2000000012407,ZENITH Sketch Pad 500 MG,Sketch Pad 500 MG,ZENITH,Stationery,500 MG,47.5
PRD-0125,PC-AUR0125,2000000012506,AURORA Sketch Pad 1.5 V,Sketch Pad 1.5 V,AURORA,Stationery,1.5 V,102.96
PRD-0126,PC-NEX0126,2000000012605,NEXUS Sketch Pad 250 ML,Sketch Pad 250 ML,NEXUS,Stationery,250 ML,82.01
PRD-0127,PC-ZEN0127,2000000012704,ZENITH Colored Pencil Set 50 G,Colored Pencil Set 50 G,ZENITH,Stationery,50 G,57.94
PRD-0128,PC-AUR0128,2000000012803,AURORA Colored Pencil Set 5 W,Colored Pencil Set 5 W,AURORA,Stationery,5 W,24.7
PRD-0129,PC-NEX0129,2000000012902,NEXUS Colored Pencil Set 750 ML,Colored Pencil Set 750 ML,NEXUS,Stationery,750 ML,94.86
PRD-0130,PC-ZEN0130,2000000013008,ZENITH Ruler Set 45 CM,Ruler Set 45 CM,ZENITH,Stationery,45 CM,90.87
PRD-0131,PC-AUR0131,2000000013107,AURORA Ruler Set 60 CM,Ruler Set 60 CM,AURORA,Stationery,60 CM,15.08
PRD-0132,PC-NEX0132,2000000013206,NEXUS Ruler Set 60 CM,Ruler Set 60 CM,NEXUS,Stationery,60 CM,20.73
PRD-0133,PC-ZEN0133,2000000013305,ZENITH Glue Stick 250 MG,Glue Stick 250 MG,ZENITH,Stationery,250 MG,31.89
PRD-0134,PC-AUR0134,2000000013404,AURORA Glue Stick 9 V,Glue Stick 9 V,AURORA,Stationery,9 V,77.67
PRD-0135,PC-NEX0135,2000000013503,NEXUS Glue Stick 5000 MAH,Glue Stick 5000 MAH,NEXUS,Stationery,5000 MAH,27.9
PRD-0136,PC-ZEN0136,2000000013602,ZENITH Scissors 3 V,Scissors 3 V,ZENITH,Stationery,3 V,71.22
PRD-0137,PC-AUR0137,2000000013701,AURORA Scissors 100 MG,Scissors 100 MG,AURORA,Stationery,100 MG,94.03
PRD-0138,PC-NEX0138,2000000013800,NEXUS Scissors 500 MG,Scissors 500 MG,NEXUS,Stationery,500 MG,96.35
PRD-0139,PC-ZEN0139,2000000013909,ZENITH Eraser Pack 500 G,Eraser Pack 500 G,ZENITH,Stationery,500 G,45.39
PRD-0140,PC-AUR0140,2000000014005,AURORA Eraser Pack 2000 MAH,Eraser Pack 2000 MAH,AURORA,Stationery,2000 MAH,111.85
PRD-0141,PC-NEX0141,2000000014104,NEXUS Eraser Pack 3 V,Eraser Pack 3 V,NEXUS,Stationery,3 V,34.77
PRD-0142,PC-ZEN0142,2000000014203,ZENITH Marker Set 750 ML,Marker Set 750 ML,ZENITH,Stationery,750 ML,33.77
PRD-0143,PC-AUR0143,2000000014302,AURORA Marker Set 10 IN,Marker Set 10 IN,AURORA,Stationery,10 IN,13.47
PRD-0144,PC-NEX0144,2000000014401,NEXUS Marker Set 250 ML,Marker Set 250 ML,NEXUS,Stationery,250 ML,40.05
PRD-0145,PC-ZEN0145,2000000014500,ZENITH Screwdriver Set 10 W,Screwdriver Set 10 W,ZENITH,Hardware,10 W,31.94
PRD-0146,PC-AUR0146,2000000014609,AURORA Screwdriver Set 500 ML,Screwdriver Set 500 ML,AURORA,Hardware,500 ML,91.46
PRD-0147,PC-NEX0147,2000000014708,NEXUS Screwdriver Set 100 MG,Screwdriver Set 100 MG,NEXUS,Hardware,100 MG,60.33
PRD-0148,PC-ZEN0148,2000000014807,ZENITH Wrench Set 30 CM,Wrench Set 30 CM,ZENITH,Hardware,30 CM,116.97
PRD-0149,PC-AUR0149,2000000014906,AURORA Wrench Set 45 CM,Wrench Set 45 CM,AURORA,Hardware,45 CM,29.28
PRD-0150,PC-NEX0150,2000000015002,NEXUS Wrench Set 9 V,Wrench Set 9 V,NEXUS,Hardware,9 V,89.01
