line_id,transaction_id,product_id,product_code,barcode,product_name,generic_name,quantity,unit_price,amount,reference_id,source
TXN-A-000041-L81,TXN-A-000041,PRD-0039,PC-NEX0039,2000000003900,NEXUS Desk Organizer 250 ML,Desk Organizer 250 ML,5.69,90.18,513.12,TXN-B-000041,SOURCE_A
TXN-A-000042-L83,TXN-A-000042,PRD-0119,PC-AUR0119,2000000011905,AURORA Peeler 100 MG,Peeler 100 MG,9.95,13.3,132.34,TXN-B-000042,SOURCE_A
TXN-A-000043-L85,TXN-A-000043,PRD-0004,PC-ZEN0004,2000000000404,ZENITH Glass Spray 750 ML,Glass Spray 750 ML,8.69,100.37,872.22,TXN-B-000043,SOURCE_A
TXN-A-000044-L87,TXN-A-000044,PRD-0007,PC-ZEN0007,2000000000701,ZENITH Dish Liquid 5000 MAH,Dish Liquid 5000 MAH,4.63,57.78,267.52,TXN-B-000044,SOURCE_A
TXN-A-000045-L89,TXN-A-000045,PRD-0042,PC-NEX0042,2000000004204,NEXUS File Folder Pack 500 G,File Folder Pack 500 G,9.55,68.11,650.45,TXN-B-000045,SOURCE_A
TXN-A-000046-L91,TXN-A-000046,PRD-0123,PC-NEX0123,2000000012308,NEXUS Notebook 3 V,Notebook 3 V,7.92,15.38,121.81,TXN-B-000046,SOURCE_A
TXN-A-000047-L93,TXN-A-000047,PRD-0040,PC-ZEN0040,2000000004006,ZENITH File Folder Pack 750 ML,File Folder Pack 750 ML,5.19,112.35,583.1,TXN-B-000047,SOURCE_A
TXN-A-000048-L95,TXN-A-000048,PRD-0090,PC-NEX0090,2000000009001,NEXUS Face Cream 100 MG,Face Cream 100 MG,6.56,20.0,131.2,TXN-B-000048,SOURCE_A
TXN-A-000049-L97,TXN-A-000049,PRD-0138,PC-NEX0138,2000000013800,NEXUS Scissors 500 MG,Scissors 500 MG,5.64,96.35,543.41,TXN-B-000049,SOURCE_A
TXN-A-000050-L99,TXN-A-000050,PRD-0095,PC-AUR0095,2000000009506,AURORA Lotion 1 KG,Lotion 1 KG,6.52,117.25,764.47,TXN-B-000050,SOURCE_A
TXN-A-000051-L101,TXN-A-000051,PRD-0087,PC-NEX0087,2000000008707,NEXUS Deodorant 9 V,Deodorant 9 V,9.6,116.64,1119.74,TXN-B-000051,SOURCE_A
TXN-A-000052-L103,TXN-A-000052,PRD-0015,PC-NEX0015,2000000001500,NEXUS Fabric Softener 200 G,Fabric Softener 200 G,9.46,47.38,448.21,TXN-B-000052,SOURCE_A
TXN-A-000053-L105,TXN-A-000053,PRD-0146,PC-AUR0146,2000000014609,AURORA Screwdriver Set 500 ML,Screwdriver Set 500 ML,5.5,91.46,503.03,TXN-B-000053,SOURCE_A
TXN-A-000054-L107,TXN-A-000054,PRD-0070,PC-ZEN0070,2000000007007,ZENITH Mouse Pad 200 G,Mouse Pad 200 G,8.66,113.79,985.42,TXN-B-000054,SOURCE_A
TXN-A-000055-L109,TXN-A-000055,PRD-0104,PC-AUR0104,2000000010403,AURORA Measuring Cup 10000 MAH,Measuring Cup 10000 MAH,8.12,68.42,555.57,TXN-B-000055,SOURCE_A
TXN-A-000056-L111,TXN-A-000056,PRD-0110,PC-AUR0110,2000000011004,AURORA Storage Container 5 W,Storage Container 5 W,1.33,44.62,59.34,TXN-B-000056,SOURCE_A
TXN-A-000057-L113,TXN-A-000057,PRD-0042,PC-NEX0042,2000000004204,NEXUS File Folder Pack 500 G,File Folder Pack 500 G,6.44,68.11,438.63,TXN-B-000057,SOURCE_A
TXN-A-000058-L115,TXN-A-000058,PRD-0042,PC-NEX0042,2000000004204,NEXUS File Folder Pack 500 G,File Folder Pack 500 G,9.07,68.11,617.76,TXN-B-000058,SOURCE_A
TXN-A-000059-L117,TXN-A-000059,PRD-0072,PC-NEX0072,2000000007205,NEXUS Mouse Pad 100 G,Mouse Pad 100 G,6.49,43.98,285.43,TXN-B-000059,SOURCE_A
TXN-A-000060-L119,TXN-A-000060,PRD-0149,PC-AUR0149,2000000014906,AURORA Wrench Set 45 CM,Wrench Set 45 CM,9.96,29.28,291.63,TXN-B-000060,SOURCE_A
TXN-A-000061-L121,TXN-A-000061,PRD-0031,PC-ZEN0031,2000000003108,ZENITH Binder Clip Box 3 V,Binder Clip Box 3 V,2.12,57.71,122.35,TXN-B-000061,SOURCE_A
TXN-A-000062-L123,TXN-A-000062,PRD-0017,PC-AUR0017,2000000001708,AURORA Surface Wipes 9 V,Surface Wipes 9 V,5.16,80.73,416.57,TXN-B-000062,SOURCE_A
TXN-A-000063-L125,TXN-A-000063,PRD-0077,PC-AUR0077,2000000007700,AURORA Shampoo 1 KG,Shampoo 1 KG,2.1,106.6,223.86,TXN-B-000063,SOURCE_A
TXN-A-000064-L127,TXN-A-000064,PRD-0026,PC-AUR0026,2000000002606,AURORA Ballpoint Pen 250 ML,Ballpoint Pen 250 ML,8.81,26.93,237.25,TXN-B-000064,SOURCE_A
TXN-A-000065-L129,TXN-A-000065,PRD-0038,PC-AUR0038,2000000003801,AURORA Desk Organizer 2000 MAH,Desk Organizer 2000 MAH,2.53,28.05,70.97,TXN-B-000065,SOURCE_A
TXN-A-000066-L131,TXN-A-000066,PRD-0069,PC-NEX0069,2000000006901,NEXUS HDMI Cable 1.5 L,HDMI Cable 1.5 L,6.66,45.41,302.43,TXN-B-000066,SOURCE_A
TXN-A-000067-L133,TXN-A-000067,PRD-0075,PC-NEX0075,2000000007502,NEXUS Hand Soap 10000 MAH,Hand Soap 10000 MAH,6.08,69.45,422.26,TXN-B-000067,SOURCE_A
TXN-A-000068-L135,TXN-A-000068,PRD-0050,PC-AUR0050,2000000005003,AURORA USB Cable 10000 MAH,USB Cable 10000 MAH,5.53,3.09,17.09,TXN-B-000068,SOURCE_A
TXN-A-000069-L137,TXN-A-000069,PRD-0013,PC-ZEN0013,2000000001302,ZENITH Fabric Softener 1 L,Fabric Softener 1 L,3.82,9.65,36.86,TXN-B-000069,SOURCE_A
TXN-A-000070-L139,TXN-A-000070,PRD-0066,PC-NEX0066,2000000006604,NEXUS Charging Dock 5000 MAH,Charging Dock 5000 MAH,2.55,55.19,140.73,TXN-B-000070,SOURCE_A
TXN-A-000071-L141,TXN-A-000071,PRD-0022,PC-ZEN0022,2000000002200,ZENITH Floor Polish 2000 MAH,Floor Polish 2000 MAH,9.05,5.92,53.58,TXN-B-000071,SOURCE_A
TXN-A-000072-L143,TXN-A-000072,PRD-0121,PC-ZEN0121,2000000012100,ZENITH Notebook 1 L,Notebook 1 L,7.23,21.42,154.87,TXN-B-000072,SOURCE_A
TXN-A-000073-L145,TXN-A-000073,PRD-0093,PC-NEX0093,2000000009308,NEXUS Hair Gel 10 W,Hair Gel 10 W,8.78,27.25,239.25,TXN-B-000073,SOURCE_A
TXN-A-000074-L147,TXN-A-000074,PRD-0003,PC-NEX0003,2000000000305,NEXUS All Purpose Cleaner 250 ML,All Purpose Cleaner 250 ML,7.62,116.68,889.1,TXN-B-000074,SOURCE_A
TXN-A-000075-L149,TXN-A-000075,PRD-0092,PC-AUR0092,2000000009209,AURORA Hair Gel 100 MG,Hair Gel 100 MG,6.53,64.67,422.3,TXN-B-000075,SOURCE_A
TXN-A-000076-L151,TXN-A-000076,PRD-0010,PC-ZEN0010,2000000001005,ZENITH Laundry Detergent 1.5 V,Laundry Detergent 1.5 V,2.56,25.3,64.77,TXN-B-000076,SOURCE_A
TXN-A-000077-L153,TXN-A-000077,PRD-0013,PC-ZEN0013,2000000001302,ZENITH Fabric Softener 1 L,Fabric Softener 1 L,6.72,9.65,64.85,TXN-B-000077,SOURCE_A
TXN-A-000078-L155,TXN-A-000078,PRD-0138,PC-NEX0138,2000000013800,NEXUS Scissors 500 MG,Scissors 500 MG,8.87,96.35,854.62,TXN-B-000078,SOURCE_A
TXN-A-000079-L157,TXN-A-000079,PRD-0066,PC-NEX0066,2000000006604,NEXUS Charging Dock 5000 MAH,Charging Dock 5000 MAH,9.62,55.19,530.93,TXN-B-000079,SOURCE_A
TXN-A-000080-L159,TXN-A-000080,PRD-0057,PC-NEX0057,2000000005706,NEXUS Phone Case 1 L,Phone Case 1 L,6.75,31.73,214.18,TXN-B-000080,SOURCE_A
TXN-A-000081-L161,TXN-A-000081,PRD-0136,PC-ZEN0136,2000000013602,ZENITH Scissors 3 V,Scissors 3 V,8.0,71.22,569.76,TXN-B-000081,SOURCE_A
TXN-A-000082-L163,TXN-A-000082,PRD-0140,PC-AUR0140,2000000014005,AURORA Eraser Pack 2000 MAH,Eraser Pack 2000 MAH,8.65,111.85,967.5,TXN-B-000082,SOURCE_A
TXN-A-000083-L165,TXN-A-000083,PRD-0035,PC-AUR0035,2000000003504,AURORA Stapler 10 W,Stapler 10 W,5.43,17.34,94.16,TXN-B-000083,SOURCE_A
TXN-A-000084-L167,TXN-A-000084,PRD-0020,PC-AUR0020,2000000002002,AURORA Air Freshener 200 G,Air Freshener 200 G,1.14,104.22,118.81,TXN-B-000084,SOURCE_A
TXN-A-000085-L169,TXN-A-000085,PRD-0112,PC-ZEN0112,2000000011202,ZENITH Kitchen Towel 30 CM,Kitchen Towel 30 CM,8.13,100.54,817.39,TXN-B-000085,SOURCE_A
TXN-A-000086-L171,TXN-A-000086,PRD-0094,PC-ZEN0094,2000000009407,ZENITH Lotion 10000 MAH,Lotion 10000 MAH,9.96,9.96,99.2,TXN-B-000086,SOURCE_A
TXN-A-000087-L173,TXN-A-000087,PRD-0070,PC-ZEN0070,2000000007007,ZENITH Mouse Pad 200 G,Mouse Pad 200 G,5.44,113.79,619.02,TXN-B-000087,SOURCE_A
TXN-A-000088-L175,TXN-A-000088,PRD-0150,PC-NEX0150,2000000015002,NEXUS Wrench Set 9 V,Wrench Set 9 V,2.31,89.01,205.61,TXN-B-000088,SOURCE_A
TXN-A-000089-L177,TXN-A-000089,PRD-0063,PC-NEX0063,2000000006307,NEXUS Battery Pack 10 W,Battery Pack 10 W,4.21,96.31,405.47,TXN-B-000089,SOURCE_A
TXN-A-000090-L179,TXN-A-000090,PRD-0076,PC-ZEN0076,2000000007601,ZENITH Shampoo 200 G,Shampoo 200 G,6.88,12.26,84.35,TXN-B-000090,SOURCE_A
TXN-A-000091-L181,TXN-A-000091,PRD-0061,PC-ZEN0061,2000000006109,ZENITH Battery Pack 200 G,Battery Pack 200 G,1.68,64.09,107.67,TXN-B-000091,SOURCE_A
TXN-A-000092-L183,TXN-A-000092,PRD-0114,PC-NEX0114,2000000011400,NEXUS Kitchen Towel 10 W,Kitchen Towel 10 W,5.12,24.94,127.69,TXN-B-000092,SOURCE_A
TXN-A-000093-L185,TXN-A-000093,PRD-0065,PC-AUR0065,2000000006505,AURORA Charging Dock 3 V,Charging Dock 3 V,6.73,17.05,114.75,TXN-B-000093,SOURCE_A
TXN-A-000094-L187,TXN-A-000094,PRD-0144,PC-NEX0144,2000000014401,NEXUS Marker Set 250 ML,Marker Set 250 ML,4.11,40.05,164.61,TXN-B-000094,SOURCE_A
TXN-A-000095-L189,TXN-A-000095,PRD-0005,PC-AUR0005,2000000000503,AURORA Glass Spray 500 G,Glass Spray 500 G,6.51,111.21,723.98,TXN-B-000095,SOURCE_A
TXN-A-000096-L191,TXN-A-000096,PRD-0120,PC-NEX0120,2000000012001,NEXUS Peeler 30 CM,Peeler 30 CM,7.45,95.85,714.08,TXN-B-000096,SOURCE_A
TXN-A-000097-L193,TXN-A-000097,PRD-0085,PC-ZEN0085,2000000008509,ZENITH Deodorant 200 G,Deodorant 200 G,6.72,86.39,580.54,TXN-B-000097,SOURCE_A
TXN-A-000098-L195,TXN-A-000098,PRD-0046,PC-ZEN0046,2000000004600,ZENITH Tape Dispenser 250 ML,Tape Dispenser 250 ML,1.19,27.78,33.06,TXN-B-000098,SOURCE_A
TXN-A-000099-L197,TXN-A-000099,PRD-0128,PC-AUR0128,2000000012803,AURORA Colored Pencil Set 5 W,Colored Pencil Set 5 W,7.81,24.7,192.91,TXN-B-000099,SOURCE_A
TXN-A-000100-L199,TXN-A-000100,PRD-0074,PC-AUR0074,2000000007403,AURORA Hand Soap 1.5 V,Hand Soap 1.5 V,9.43,72.37,682.45,TXN-B-000100,SOURCE_A
TXN-A-000101-L201,TXN-A-000101,PRD-0019,PC-ZEN0019,2000000001906,ZENITH Air Freshener 45 CM,Air Freshener 45 CM,4.4,38.75,170.5,TXN-B-000101,SOURCE_A
TXN-A-000102-L203,TXN-A-000102,PRD-0147,PC-NEX0147,2000000014708,NEXUS Screwdriver Set 100 MG,Screwdriver Set 100 MG,8.82,60.33,532.11,TXN-B-000102,SOURCE_A
TXN-A-000103-L205,TXN-A-000103,PRD-0097,PC-ZEN0097,2000000009704,ZENITH Cutting Board 5 W,Cutting Board 5 W,9.25,15.99,147.91,TXN-B-000103,SOURCE_A
TXN-A-000104-L207,TXN-A-000104,PRD-0028,PC-ZEN0028,2000000002804,ZENITH Highlighter Set 500 ML,Highlighter Set 500 ML,8.05,113.36,912.55,TXN-B-000104,SOURCE_A
TXN-A-000105-L209,TXN-A-000105,PRD-0056,PC-AUR0056,2000000005607,AURORA Phone Case 20 W,Phone Case 20 W,3.81,16.68,63.55,TXN-B-000105,SOURCE_A
TXN-A-000106-L211,TXN-A-000106,PRD-0126,PC-NEX0126,2000000012605,NEXUS Sketch Pad 250 ML,Sketch Pad 250 ML,3.5,82.01,287.04,TXN-B-000106,SOURCE_A
TXN-A-000107-L213,TXN-A-000107,PRD-0108,PC-NEX0108,2000000010809,NEXUS Spatula Set 500 MG,Spatula Set 500 MG,6.66,103.62,690.11,TXN-B-000107,SOURCE_A
TXN-A-000108-L215,TXN-A-000108,PRD-0005,PC-AUR0005,2000000000503,AURORA Glass Spray 500 G,Glass Spray 500 G,5.38,111.21,598.31,TXN-B-000108,SOURCE_A
TXN-A-000109-L217,TXN-A-000109,PRD-0039,PC-NEX0039,2000000003900,NEXUS Desk Organizer 250 ML,Desk Organizer 250 ML,3.22,90.18,290.38,TXN-B-000109,SOURCE_A
TXN-A-000110-L219,TXN-A-000110,PRD-0129,PC-NEX0129,2000000012902,NEXUS Colored Pencil Set 750 ML,Colored Pencil Set 750 ML,8.18,94.86,775.95,TXN-B-000110,SOURCE_A
TXN-A-000111-L221,TXN-A-000111,PRD-0073,PC-ZEN0073,2000000007304,ZENITH Hand Soap 250 MG,Hand Soap 250 MG,7.81,22.6,176.51,TXN-B-000111,SOURCE_A
TXN-A-000112-L223,TXN-A-000112,PRD-0122,PC-AUR0122,2000000012209,AURORA Notebook 5000 MAH,Notebook 5000 MAH,1.81,31.9,57.74,TXN-B-000112,SOURCE_A
TXN-A-000113-L225,TXN-A-000113,PRD-0041,PC-AUR0041,2000000004105,AURORA File Folder Pack 9 V,File Folder Pack 9 V,2.02,59.18,119.54,TXN-B-000113,SOURCE_A
TXN-A-000114-L227,TXN-A-000114,PRD-0100,PC-ZEN0100,2000000010007,ZENITH Mixing Bowl Set 250 ML,Mixing Bowl Set 250 ML,9.15,63.15,577.82,TXN-B-000114,SOURCE_A
TXN-A-000115-L229,TXN-A-000115,PRD-0109,PC-ZEN0109,2000000010908,ZENITH Storage Container 20 W,Storage Container 20 W,9.0,89.13,802.17,TXN-B-000115,SOURCE_A
TXN-A-000116-L231,TXN-A-000116,PRD-0145,PC-ZEN0145,2000000014500,ZENITH Screwdriver Set 10 W,Screwdriver Set 10 W,1.7,31.94,54.3,TXN-B-000116,SOURCE_A
TXN-A-000117-L233,TXN-A-000117,PRD-0019,PC-ZEN0019,2000000001906,ZENITH Air Freshener 45 CM,Air Freshener 45 CM,8.96,38.75,347.2,TXN-B-000117,SOURCE_A
TXN-A-000118-L235,TXN-A-000118,PRD-0092,PC-AUR0092,2000000009209,AURORA Hair Gel 100 MG,Hair Gel 100 MG,2.73,64.67,176.55,TXN-B-000118,SOURCE_A
TXN-A-000119-L237,TXN-A-000119,PRD-0097,PC-ZEN0097,2000000009704,ZENITH Cutting Board 5 W,Cutting Board 5 W,4.76,15.99,76.11,TXN-B-000119,SOURCE_A
TXN-A-000120-L239,TXN-A-000120,PRD-0059,PC-AUR0059,2000000005904,AURORA Screen Protector 45 CM,Screen Protector 45 CM,7.89,61.8,487.6,TXN-B-000120,SOURCE_A
TXN-A-000121-L241,TXN-A-000121,PRD-0125,PC-AUR0125,2000000012506,AURORA Sketch Pad 1.5 V,Sketch Pad 1.5 V,8.14,102.96,838.09,TXN-B-000121,SOURCE_A
TXN-A-000122-L243,TXN-A-000122,PRD-0121,PC-ZEN0121,2000000012100,ZENITH Notebook 1 L,Notebook 1 L,2.12,21.42,45.41,TXN-B-000122,SOURCE_A
TXN-A-000123-L245,TXN-A-000123,PRD-0070,PC-ZEN0070,2000000007007,ZENITH Mouse Pad 200 G,Mouse Pad 200 G,6.73,113.79,765.81,TXN-B-000123,SOURCE_A
TXN-A-000124-L247,TXN-A-000124,PRD-0092,PC-AUR0092,2000000009209,AURORA Hair Gel 100 MG,Hair Gel 100 MG,5.94,64.67,384.14,TXN-B-000124,SOURCE_A
TXN-A-000125-L249,TXN-A-000125,PRD-0026,PC-AUR0026,2000000002606,AURORA Ballpoint Pen 250 ML,Ballpoint Pen 250 ML,1.62,26.93,43.63,TXN-B-000125,SOURCE_A
TXN-A-000126-L251,TXN-A-000126,PRD-0037,PC-ZEN0037,2000000003702,ZENITH Desk Organizer 5 W,Desk Organizer 5 W,5.32,11.53,61.34,TXN-B-000126,SOURCE_A
TXN-A-000127-L253,TXN-A-000127,PRD-0009,PC-NEX0009,2000000000909,NEXUS Dish Liquid 10 W,Dish Liquid 10 W,8.52,102.05,869.47,TXN-B-000127,SOURCE_A
TXN-A-000128-L255,TXN-A-000128,PRD-0137,PC-AUR0137,2000000013701,AURORA Scissors 100 MG,Scissors 100 MG,6.91,94.03,649.75,TXN-B-000128,SOURCE_A
TXN-A-000129-L257,TXN-A-000129,PRD-0104,PC-AUR0104,2000000010403,AURORA Measuring Cup 10000 MAH,Measuring Cup 10000 MAH,6.2,68.42,424.2,TXN-B-000129,SOURCE_A
TXN-A-000130-L259,TXN-A-000130,PRD-0064,PC-ZEN0064,2000000006406,ZENITH Charging Dock 15 W,Charging Dock 15 W,1.46,60.18,87.86,TXN-B-000130,SOURCE_A
TXN-A-000131-L261,TXN-A-000131,PRD-0001,PC-ZEN0001,2000000000107,ZENITH All Purpose Cleaner 10 IN,All Purpose Cleaner 10 IN,8.69,34.59,300.59,TXN-B-000131,SOURCE_A
TXN-A-000132-L263,TXN-A-000132,PRD-0012,PC-NEX0012,2000000001203,NEXUS Laundry Detergent 3 V,Laundry Detergent 3 V,4.79,22.27,106.67,TXN-B-000132,SOURCE_A
TXN-A-000133-L265,TXN-A-000133,PRD-0073,PC-ZEN0073,2000000007304,ZENITH Hand Soap 250 MG,Hand Soap 250 MG,8.44,22.6,190.74,TXN-B-000133,SOURCE_A
TXN-A-000134-L267,TXN-A-000134,PRD-0102,PC-NEX0102,2000000010205,NEXUS Mixing Bowl Set 15 W,Mixing Bowl Set 15 W,2.23,58.6,130.68,TXN-B-000134,SOURCE_A
TXN-A-000135-L269,TXN-A-000135,PRD-0105,PC-NEX0105,2000000010502,NEXUS Measuring Cup 100 G,Measuring Cup 100 G,8.42,109.25,919.88,TXN-B-000135,SOURCE_A
TXN-A-000136-L271,TXN-A-000136,PRD-0032,PC-AUR0032,2000000003207,AURORA Binder Clip Box 3 V,Binder Clip Box 3 V,7.67,78.97,605.7,TXN-B-000136,SOURCE_A
