scenario_id,scenario_type,source_a_transaction_id,source_b_transaction_id,source_a_line_id,source_b_line_id,expected_match_method,expected_reconciliation_status,expected_review_required,expected_notes
SCN-0013,CLEAN_EXACT_MATCH,TXN-A-000013,TXN-B-000013,TXN-A-000013-L25,TXN-B-000013-L26,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0014,CLEAN_EXACT_MATCH,TXN-A-000014,TXN-B-000014,TXN-A-000014-L27,TXN-B-000014-L28,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0015,CLEAN_EXACT_MATCH,TXN-A-000015,TXN-B-000015,TXN-A-000015-L29,TXN-B-000015-L30,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0016,CLEAN_EXACT_MATCH,TXN-A-000016,TXN-B-000016,TXN-A-000016-L31,TXN-B-000016-L32,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0017,CLEAN_EXACT_MATCH,TXN-A-000017,TXN-B-000017,TXN-A-000017-L33,TXN-B-000017-L34,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0018,CLEAN_EXACT_MATCH,TXN-A-000018,TXN-B-000018,TXN-A-000018-L35,TXN-B-000018-L36,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0019,CLEAN_EXACT_MATCH,TXN-A-000019,TXN-B-000019,TXN-A-000019-L37,TXN-B-000019-L38,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0020,CLEAN_EXACT_MATCH,TXN-A-000020,TXN-B-000020,TXN-A-000020-L39,TXN-B-000020-L40,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0021,CLEAN_EXACT_MATCH,TXN-A-000021,TXN-B-000021,TXN-A-000021-L41,TXN-B-000021-L42,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0022,CLEAN_EXACT_MATCH,TXN-A-000022,TXN-B-000022,TXN-A-000022-L43,TXN-B-000022-L44,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0023,CLEAN_EXACT_MATCH,TXN-A-000023,TXN-B-000023,TXN-A-000023-L45,TXN-B-000023-L46,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0024,CLEAN_EXACT_MATCH,TXN-A-000024,TXN-B-000024,TXN-A-000024-L47,TXN-B-000024-L48,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0025,CLEAN_EXACT_MATCH,TXN-A-000025,TXN-B-000025,TXN-A-000025-L49,TXN-B-000025-L50,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0026,CLEAN_EXACT_MATCH,TXN-A-000026,TXN-B-000026,TXN-A-000026-L51,TXN-B-000026-L52,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0027,CLEAN_EXACT_MATCH,TXN-A-000027,TXN-B-000027,TXN-A-000027-L53,TXN-B-000027-L54,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0028,CLEAN_EXACT_MATCH,TXN-A-000028,TXN-B-000028,TXN-A-000028-L55,TXN-B-000028-L56,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0029,CLEAN_EXACT_MATCH,TXN-A-000029,TXN-B-000029,TXN-A-000029-L57,TXN-B-000029-L58,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0030,CLEAN_EXACT_MATCH,TXN-A-000030,TXN-B-000030,TXN-A-000030-L59,TXN-B-000030-L60,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0031,CLEAN_EXACT_MATCH,TXN-A-000031,TXN-B-000031,TXN-A-000031-L61,TXN-B-000031-L62,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0032,CLEAN_EXACT_MATCH,TXN-A-000032,TXN-B-000032,TXN-A-000032-L63,TXN-B-000032-L64,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0033,CLEAN_EXACT_MATCH,TXN-A-000033,TXN-B-000033,TXN-A-000033-L65,TXN-B-000033-L66,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0034,CLEAN_EXACT_MATCH,TXN-A-000034,TXN-B-000034,TXN-A-000034-L67,TXN-B-000034-L68,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0035,CLEAN_EXACT_MATCH,TXN-A-000035,TXN-B-000035,TXN-A-000035-L69,TXN-B-000035-L70,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0036,CLEAN_EXACT_MATCH,TXN-A-000036,TXN-B-000036,TXN-A-000036-L71,TXN-B-000036-L72,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0037,CLEAN_EXACT_MATCH,TXN-A-000037,TXN-B-000037,TXN-A-000037-L73,TXN-B-000037-L74,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0038,CLEAN_EXACT_MATCH,TXN-A-000038,TXN-B-000038,TXN-A-000038-L75,TXN-B-000038-L76,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0039,CLEAN_EXACT_MATCH,TXN-A-000039,TXN-B-000039,TXN-A-000039-L77,TXN-B-000039-L78,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0040,CLEAN_EXACT_MATCH,TXN-A-000040,TXN-B-000040,TXN-A-000040-L79,TXN-B-000040-L80,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0041,CLEAN_EXACT_MATCH,TXN-A-000041,TXN-B-000041,TXN-A-000041-L81,TXN-B-000041-L82,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0042,CLEAN_EXACT_MATCH,TXN-A-000042,TXN-B-000042,TXN-A-000042-L83,TXN-B-000042-L84,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0043,CLEAN_EXACT_MATCH,TXN-A-000043,TXN-B-000043,TXN-A-000043-L85,TXN-B-000043-L86,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0044,CLEAN_EXACT_MATCH,TXN-A-000044,TXN-B-000044,TXN-A-000044-L87,TXN-B-000044-L88,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0045,CLEAN_EXACT_MATCH,TXN-A-000045,TXN-B-000045,TXN-A-000045-L89,TXN-B-000045-L90,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0046,CLEAN_EXACT_MATCH,TXN-A-000046,TXN-B-000046,TXN-A-000046-L91,TXN-B-000046-L92,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0047,CLEAN_EXACT_MATCH,TXN-A-000047,TXN-B-000047,TXN-A-000047-L93,TXN-B-000047-L94,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0048,CLEAN_EXACT_MATCH,TXN-A-000048,TXN-B-000048,TXN-A-000048-L95,TXN-B-000048-L96,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0049,CLEAN_EXACT_MATCH,TXN-A-000049,TXN-B-000049,TXN-A-000049-L97,TXN-B-000049-L98,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0050,CLEAN_EXACT_MATCH,TXN-A-000050,TXN-B-000050,TXN-A-000050-L99,TXN-B-000050-L100,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0051,CLEAN_EXACT_MATCH,TXN-A-000051,TXN-B-000051,TXN-A-000051-L101,TXN-B-000051-L102,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0052,CLEAN_EXACT_MATCH,TXN-A-000052,TXN-B-000052,TXN-A-000052-L103,TXN-B-000052-L104,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0053,CLEAN_EXACT_MATCH,TXN-A-000053,TXN-B-000053,TXN-A-000053-L105,TXN-B-000053-L106,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0054,CLEAN_EXACT_MATCH,TXN-A-000054,TXN-B-000054,TXN-A-000054-L107,TXN-B-000054-L108,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0055,CLEAN_EXACT_MATCH,TXN-A-000055,TXN-B-000055,TXN-A-000055-L109,TXN-B-000055-L110,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0056,CLEAN_EXACT_MATCH,TXN-A-000056,TXN-B-000056,TXN-A-000056-L111,TXN-B-000056-L112,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0057,CLEAN_EXACT_MATCH,TXN-A-000057,TXN-B-000057,TXN-A-000057-L113,TXN-B-000057-L114,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0058,CLEAN_EXACT_MATCH,TXN-A-000058,TXN-B-000058,TXN-A-000058-L115,TXN-B-000058-L116,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0059,CLEAN_EXACT_MATCH,TXN-A-000059,TXN-B-000059,TXN-A-000059-L117,TXN-B-000059-L118,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0060,CLEAN_EXACT_MATCH,TXN-A-000060,TXN-B-000060,TXN-A-000060-L119,TXN-B-000060-L120,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0061,CLEAN_EXACT_MATCH,TXN-A-000061,TXN-B-000061,TXN-A-000061-L121,TXN-B-000061-L122,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0062,CLEAN_EXACT_MATCH,TXN-A-000062,TXN-B-000062,TXN-A-000062-L123,TXN-B-000062-L124,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0063,CLEAN_EXACT_MATCH,TXN-A-000063,TXN-B-000063,TXN-A-000063-L125,TXN-B-000063-L126,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0064,CLEAN_EXACT_MATCH,TXN-A-000064,TXN-B-000064,TXN-A-000064-L127,TXN-B-000064-L128,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0065,CLEAN_EXACT_MATCH,TXN-A-000065,TXN-B-000065,TXN-A-000065-L129,TXN-B-000065-L130,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0066,CLEAN_EXACT_MATCH,TXN-A-000066,TXN-B-000066,TXN-A-000066-L131,TXN-B-000066-L132,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0067,CLEAN_EXACT_MATCH,TXN-A-000067,TXN-B-000067,TXN-A-000067-L133,TXN-B-000067-L134,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0068,CLEAN_EXACT_MATCH,TXN-A-000068,TXN-B-000068,TXN-A-000068-L135,TXN-B-000068-L136,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0069,CLEAN_EXACT_MATCH,TXN-A-000069,TXN-B-000069,TXN-A-000069-L137,TXN-B-000069-L138,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0070,CLEAN_EXACT_MATCH,TXN-A-000070,TXN-B-000070,TXN-A-000070-L139,TXN-B-000070-L140,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0071,CLEAN_EXACT_MATCH,TXN-A-000071,TXN-B-000071,TXN-A-000071-L141,TXN-B-000071-L142,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0072,CLEAN_EXACT_MATCH,TXN-A-000072,TXN-B-000072,TXN-A-000072-L143,TXN-B-000072-L144,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0073,CLEAN_EXACT_MATCH,TXN-A-000073,TXN-B-000073,TXN-A-000073-L145,TXN-B-000073-L146,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0074,CLEAN_EXACT_MATCH,TXN-A-000074,TXN-B-000074,TXN-A-000074-L147,TXN-B-000074-L148,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0075,CLEAN_EXACT_MATCH,TXN-A-000075,TXN-B-000075,TXN-A-000075-L149,TXN-B-000075-L150,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0076,CLEAN_EXACT_MATCH,TXN-A-000076,TXN-B-000076,TXN-A-000076-L151,TXN-B-000076-L152,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0077,CLEAN_EXACT_MATCH,TXN-A-000077,TXN-B-000077,TXN-A-000077-L153,TXN-B-000077-L154,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0078,CLEAN_EXACT_MATCH,TXN-A-000078,TXN-B-000078,TXN-A-000078-L155,TXN-B-000078-L156,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0079,CLEAN_EXACT_MATCH,TXN-A-000079,TXN-B-000079,TXN-A-000079-L157,TXN-B-000079-L158,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0080,CLEAN_EXACT_MATCH,TXN-A-000080,TXN-B-000080,TXN-A-000080-L159,TXN-B-000080-L160,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0081,CLEAN_EXACT_MATCH,TXN-A-000081,TXN-B-000081,TXN-A-000081-L161,TXN-B-000081-L162,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0082,CLEAN_EXACT_MATCH,TXN-A-000082,TXN-B-000082,TXN-A-000082-L163,TXN-B-000082-L164,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0083,CLEAN_EXACT_MATCH,TXN-A-000083,TXN-B-000083,TXN-A-000083-L165,TXN-B-000083-L166,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0084,CLEAN_EXACT_MATCH,TXN-A-000084,TXN-B-000084,TXN-A-000084-L167,TXN-B-000084-L168,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0085,CLEAN_EXACT_MATCH,TXN-A-000085,TXN-B-000085,TXN-A-000085-L169,TXN-B-000085-L170,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0086,CLEAN_EXACT_MATCH,TXN-A-000086,TXN-B-000086,TXN-A-000086-L171,TXN-B-000086-L172,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0087,CLEAN_EXACT_MATCH,TXN-A-000087,TXN-B-000087,TXN-A-000087-L173,TXN-B-000087-L174,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0088,CLEAN_EXACT_MATCH,TXN-A-000088,TXN-B-000088,TXN-A-000088-L175,TXN-B-000088-L176,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0089,CLEAN_EXACT_MATCH,TXN-A-000089,TXN-B-000089,TXN-A-000089-L177,TXN-B-000089-L178,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0090,CLEAN_EXACT_MATCH,TXN-A-000090,TXN-B-000090,TXN-A-000090-L179,TXN-B-000090-L180,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0091,CLEAN_EXACT_MATCH,TXN-A-000091,TXN-B-000091,TXN-A-000091-L181,TXN-B-000091-L182,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0092,CLEAN_EXACT_MATCH,TXN-A-000092,TXN-B-000092,TXN-A-000092-L183,TXN-B-000092-L184,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0093,CLEAN_EXACT_MATCH,TXN-A-000093,TXN-B-000093,TXN-A-000093-L185,TXN-B-000093-L186,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0094,CLEAN_EXACT_MATCH,TXN-A-000094,TXN-B-000094,TXN-A-000094-L187,TXN-B-000094-L188,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0095,CLEAN_EXACT_MATCH,TXN-A-000095,TXN-B-000095,TXN-A-000095-L189,TXN-B-000095-L190,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0096,CLEAN_EXACT_MATCH,TXN-A-000096,TXN-B-000096,TXN-A-000096-L191,TXN-B-000096-L192,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0097,CLEAN_EXACT_MATCH,TXN-A-000097,TXN-B-000097,TXN-A-000097-L193,TXN-B-000097-L194,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0098,CLEAN_EXACT_MATCH,TXN-A-000098,TXN-B-000098,TXN-A-000098-L195,TXN-B-000098-L196,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0099,CLEAN_EXACT_MATCH,TXN-A-000099,TXN-B-000099,TXN-A-000099-L197,TXN-B-000099-L198,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0100,CLEAN_EXACT_MATCH,TXN-A-000100,TXN-B-000100,TXN-A-000100-L199,TXN-B-000100-L200,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0101,CLEAN_EXACT_MATCH,TXN-A-000101,TXN-B-000101,TXN-A-000101-L201,TXN-B-000101-L202,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0102,CLEAN_EXACT_MATCH,TXN-A-000102,TXN-B-000102,TXN-A-000102-L203,TXN-B-000102-L204,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0103,CLEAN_EXACT_MATCH,TXN-A-000103,TXN-B-000103,TXN-A-000103-L205,TXN-B-000103-L206,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0104,CLEAN_EXACT_MATCH,TXN-A-000104,TXN-B-000104,TXN-A-000104-L207,TXN-B-000104-L208,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0105,CLEAN_EXACT_MATCH,TXN-A-000105,TXN-B-000105,TXN-A-000105-L209,TXN-B-000105-L210,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0106,CLEAN_EXACT_MATCH,TXN-A-000106,TXN-B-000106,TXN-A-000106-L211,TXN-B-000106-L212,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0107,CLEAN_EXACT_MATCH,TXN-A-000107,TXN-B-000107,TXN-A-000107-L213,TXN-B-000107-L214,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0108,CLEAN_EXACT_MATCH,TXN-A-000108,TXN-B-000108,TXN-A-000108-L215,TXN-B-000108-L216,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0109,CLEAN_EXACT_MATCH,TXN-A-000109,TXN-B-000109,TXN-A-000109-L217,TXN-B-000109-L218,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0110,CLEAN_EXACT_MATCH,TXN-A-000110,TXN-B-000110,TXN-A-000110-L219,TXN-B-000110-L220,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0111,CLEAN_EXACT_MATCH,TXN-A-000111,TXN-B-000111,TXN-A-000111-L221,TXN-B-000111-L222,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0112,CLEAN_EXACT_MATCH,TXN-A-000112,TXN-B-000112,TXN-A-000112-L223,TXN-B-000112-L224,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0113,CLEAN_EXACT_MATCH,TXN-A-000113,TXN-B-000113,TXN-A-000113-L225,TXN-B-000113-L226,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0114,CLEAN_EXACT_MATCH,TXN-A-000114,TXN-B-000114,TXN-A-000114-L227,TXN-B-000114-L228,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0115,CLEAN_EXACT_MATCH,TXN-A-000115,TXN-B-000115,TXN-A-000115-L229,TXN-B-000115-L230,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0116,CLEAN_EXACT_MATCH,TXN-A-000116,TXN-B-000116,TXN-A-000116-L231,TXN-B-000116-L232,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0117,CLEAN_EXACT_MATCH,TXN-A-000117,TXN-B-000117,TXN-A-000117-L233,TXN-B-000117-L234,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0118,CLEAN_EXACT_MATCH,TXN-A-000118,TXN-B-000118,TXN-A-000118-L235,TXN-B-000118-L236,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0119,CLEAN_EXACT_MATCH,TXN-A-000119,TXN-B-000119,TXN-A-000119-L237,TXN-B-000119-L238,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0120,CLEAN_EXACT_MATCH,TXN-A-000120,TXN-B-000120,TXN-A-000120-L239,TXN-B-000120-L240,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0121,CLEAN_EXACT_MATCH,TXN-A-000121,TXN-B-000121,TXN-A-000121-L241,TXN-B-000121-L242,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0122,CLEAN_EXACT_MATCH,TXN-A-000122,TXN-B-000122,TXN-A-000122-L243,TXN-B-000122-L244,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0123,CLEAN_EXACT_MATCH,TXN-A-000123,TXN-B-000123,TXN-A-000123-L245,TXN-B-000123-L246,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0124,CLEAN_EXACT_MATCH,TXN-A-000124,TXN-B-000124,TXN-A-000124-L247,TXN-B-000124-L248,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0125,CLEAN_EXACT_MATCH,TXN-A-000125,TXN-B-000125,TXN-A-000125-L249,TXN-B-000125-L250,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0126,CLEAN_EXACT_MATCH,TXN-A-000126,TXN-B-000126,TXN-A-000126-L251,TXN-B-000126-L252,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0127,CLEAN_EXACT_MATCH,TXN-A-000127,TXN-B-000127,TXN-A-000127-L253,TXN-B-000127-L254,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0128,CLEAN_EXACT_MATCH,TXN-A-000128,TXN-B-000128,TXN-A-000128-L255,TXN-B-000128-L256,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0129,CLEAN_EXACT_MATCH,TXN-A-000129,TXN-B-000129,TXN-A-000129-L257,TXN-B-000129-L258,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0130,CLEAN_EXACT_MATCH,TXN-A-000130,TXN-B-000130,TXN-A-000130-L259,TXN-B-000130-L260,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0131,CLEAN_EXACT_MATCH,TXN-A-000131,TXN-B-000131,TXN-A-000131-L261,TXN-B-000131-L262,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0132,CLEAN_EXACT_MATCH,TXN-A-000132,TXN-B-000132,TXN-A-000132-L263,TXN-B-000132-L264,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0133,CLEAN_EXACT_MATCH,TXN-A-000133,TXN-B-000133,TXN-A-000133-L265,TXN-B-000133-L266,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0134,CLEAN_EXACT_MATCH,TXN-A-000134,TXN-B-000134,TXN-A-000134-L267,TXN-B-000134-L268,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0135,CLEAN_EXACT_MATCH,TXN-A-000135,TXN-B-000135,TXN-A-000135-L269,TXN-B-000135-L270,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0136,CLEAN_EXACT_MATCH,TXN-A-000136,TXN-B-000136,TXN-A-000136-L271,TXN-B-000136-L272,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0137,CLEAN_EXACT_MATCH,TXN-A-000137,TXN-B-000137,TXN-A-000137-L273,TXN-B-000137-L274,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0138,CLEAN_EXACT_MATCH,TXN-A-000138,TXN-B-000138,TXN-A-000138-L275,TXN-B-000138-L276,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0139,CLEAN_EXACT_MATCH,TXN-A-000139,TXN-B-000139,TXN-A-000139-L277,TXN-B-000139-L278,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0140,CLEAN_EXACT_MATCH,TXN-A-000140,TXN-B-000140,TXN-A-000140-L279,TXN-B-000140-L280,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0141,CLEAN_EXACT_MATCH,TXN-A-000141,TXN-B-000141,TXN-A-000141-L281,TXN-B-000141-L282,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0142,CLEAN_EXACT_MATCH,TXN-A-000142,TXN-B-000142,TXN-A-000142-L283,TXN-B-000142-L284,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
