line_key,anomaly_type,severity,description,reconciliation_status
TXN-A-001773-L3560,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001773-L3560,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001776-L3566,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001782-L3578,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001782-L3578,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001789-L3592,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001817-L3648,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001830-L3674,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001833-L3680,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001833-L3680,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001834-L3682,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001834-L3682,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001838-L3690,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001845-L3704,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001845-L3704,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001846-L3706,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001846-L3706,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001858-L3730,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001858-L3730,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001860-L3734,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001860-L3734,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001861-L3736,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001861-L3736,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001862-L3738,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001883-L3780,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001883-L3780,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001889-L3792,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001889-L3792,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001898-L3810,HIGH_VALUE_OUTLIER,HIGH,Amount 2636.86 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-001906-L3826,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001906-L3826,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001909-L3832,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001909-L3832,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001910-L3834,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001910-L3834,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001913-L3840,HIGH_VALUE_OUTLIER,HIGH,Amount 12137.17 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-001915-L3844,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001918-L3850,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001918-L3850,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001920-L3854,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001921-L3856,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001931-L3876,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001933-L3880,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001937-L3888,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001944-L3902,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001949-L3912,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001954-L3922,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001955-L3924,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001957-L3928,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001958-L3930,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001960-L3934,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001964-L3942,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,CREDIT
TXN-A-001970-L3954,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,REVERSAL
TXN-A-001979-L3972,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,REVERSAL
TXN-A-001987-L3988,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,REVERSAL
TXN-A-001988-L3990,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,REVERSAL
TXN-A-001989-L3992,HIGH_VALUE_OUTLIER,HIGH,Amount 22093.21 exceeds 5.0x population mean 337.71,REVERSAL
TXN-A-001994-L4002,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,REVERSAL
TXN-A-001995-L4004,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,REVERSAL
TXN-A-001996-L4006,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,REVERSAL
TXN-A-001998-L4010,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,REVERSAL
TXN-A-001999-L4012,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,REVERSAL
TXN-A-002000-L4014,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,REVERSAL
TXN-A-002001-L01,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002001-L02,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002002-L01,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002002-L02,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002004-L02,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002004-L02,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002005-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002005-L02,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002006-L01,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002006-L02,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002007-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002007-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002007-L02,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002007-L02,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002010-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002010-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002010-L02,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002010-L02,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002011-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002011-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002011-L02,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002011-L02,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002012-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002012-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002012-L02,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002012-L02,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002013-L02,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002013-L02,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002014-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002014-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002014-L02,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002014-L02,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002015-L02,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002016-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002016-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002016-L02,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002016-L02,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002017-L02,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002017-L02,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002019-L01,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002019-L02,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002021-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002021-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002022-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002022-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002022-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002022-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002023-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002024-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002024-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002024-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002024-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002025-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002025-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002026-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002027-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002027-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002028-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002028-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002028-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002028-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002030-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002030-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002030-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002030-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002031-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002031-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002031-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002031-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002032-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002032-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002032-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002032-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002033-L01,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002033-L01,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002034-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002034-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002035-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002035-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002036-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002036-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002037-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002037-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002038-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002038-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002038-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002038-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002039-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002039-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002039-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002039-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002040-L01,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002041-L01,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002042-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002042-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002042-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002042-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002043-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002043-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002043-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002043-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002044-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002044-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002045-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002045-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002045-L01,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002045-L01,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002046-L4016,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002047-L4017,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002048-L4018,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002049-L4019,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002050-L4020,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002051-L4021,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002052-L4022,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002053-L4023,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002054-L4024,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002055-L4025,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002056-L4026,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
