source_a_line_id,source_a_transaction_id,source_b_line_id,source_b_transaction_id,match_method,confidence_score,identity_status,quantity_status,price_status,amount_status,reconciliation_status,review_required,quantity_difference,price_difference,amount_difference,source_a_product_id,source_b_product_id,source_a_product_name,source_b_product_name,source_a_amount,source_b_amount,source_a_quantity,source_b_quantity,source_a_unit_price,source_b_unit_price,signed_exposure,absolute_exposure,quantity_exposure,price_exposure,amount_exposure,unresolved_exposure,review_exposure
TXN-A-000029-L57,TXN-A-000029,TXN-B-000029-L58,TXN-B-000029,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0135,PRD-0135,NEXUS Glue Stick 5000 MAH,NEXUS Glue Stick 5000 MAH,126.39,126.39,4.53,4.53,27.90,27.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000030-L59,TXN-A-000030,TXN-B-000030-L60,TXN-B-000030,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0130,PRD-0130,ZENITH Ruler Set 45 CM,ZENITH Ruler Set 45 CM,618.82,618.82,6.81,6.81,90.87,90.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000031-L61,TXN-A-000031,TXN-B-000031-L62,TXN-B-000031,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0082,PRD-0082,ZENITH Toothpaste 500 MG,ZENITH Toothpaste 500 MG,793.37,793.37,8.59,8.59,92.36,92.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000032-L63,TXN-A-000032,TXN-B-000032-L64,TXN-B-000032,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0030,PRD-0030,NEXUS Highlighter Set 12 IN,NEXUS Highlighter Set 12 IN,568.76,568.76,8.18,8.18,69.53,69.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000033-L65,TXN-A-000033,TXN-B-000033-L66,TXN-B-000033,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0117,PRD-0117,NEXUS Can Opener 5 W,NEXUS Can Opener 5 W,241.24,241.24,3.99,3.99,60.46,60.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000034-L67,TXN-A-000034,TXN-B-000034-L68,TXN-B-000034,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0104,PRD-0104,AURORA Measuring Cup 10000 MAH,AURORA Measuring Cup 10000 MAH,589.78,589.78,8.62,8.62,68.42,68.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000035-L69,TXN-A-000035,TXN-B-000035-L70,TXN-B-000035,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0010,PRD-0010,ZENITH Laundry Detergent 1.5 V,ZENITH Laundry Detergent 1.5 V,58.44,58.44,2.31,2.31,25.30,25.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000036-L71,TXN-A-000036,TXN-B-000036-L72,TXN-B-000036,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0120,PRD-0120,NEXUS Peeler 30 CM,NEXUS Peeler 30 CM,718.88,718.88,7.50,7.50,95.85,95.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000037-L73,TXN-A-000037,TXN-B-000037-L74,TXN-B-000037,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0061,PRD-0061,ZENITH Battery Pack 200 G,ZENITH Battery Pack 200 G,398.64,398.64,6.22,6.22,64.09,64.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000038-L75,TXN-A-000038,TXN-B-000038-L76,TXN-B-000038,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0125,PRD-0125,AURORA Sketch Pad 1.5 V,AURORA Sketch Pad 1.5 V,408.75,408.75,3.97,3.97,102.96,102.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000039-L77,TXN-A-000039,TXN-B-000039-L78,TXN-B-000039,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0046,PRD-0046,ZENITH Tape Dispenser 250 ML,ZENITH Tape Dispenser 250 ML,79.17,79.17,2.85,2.85,27.78,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000040-L79,TXN-A-000040,TXN-B-000040-L80,TXN-B-000040,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0117,PRD-0117,NEXUS Can Opener 5 W,NEXUS Can Opener 5 W,350.06,350.06,5.79,5.79,60.46,60.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000041-L81,TXN-A-000041,TXN-B-000041-L82,TXN-B-000041,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0039,PRD-0039,NEXUS Desk Organizer 250 ML,NEXUS Desk Organizer 250 ML,513.12,513.12,5.69,5.69,90.18,90.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000042-L83,TXN-A-000042,TXN-B-000042-L84,TXN-B-000042,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0119,PRD-0119,AURORA Peeler 100 MG,AURORA Peeler 100 MG,132.34,132.34,9.95,9.95,13.30,13.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000043-L85,TXN-A-000043,TXN-B-000043-L86,TXN-B-000043,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0004,PRD-0004,ZENITH Glass Spray 750 ML,ZENITH Glass Spray 750 ML,872.22,872.22,8.69,8.69,100.37,100.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000044-L87,TXN-A-000044,TXN-B-000044-L88,TXN-B-000044,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0007,PRD-0007,ZENITH Dish Liquid 5000 MAH,ZENITH Dish Liquid 5000 MAH,267.52,267.52,4.63,4.63,57.78,57.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000045-L89,TXN-A-000045,TXN-B-000045-L90,TXN-B-000045,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0042,PRD-0042,NEXUS File Folder Pack 500 G,NEXUS File Folder Pack 500 G,650.45,650.45,9.55,9.55,68.11,68.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000046-L91,TXN-A-000046,TXN-B-000046-L92,TXN-B-000046,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0123,PRD-0123,NEXUS Notebook 3 V,NEXUS Notebook 3 V,121.81,121.81,7.92,7.92,15.38,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000047-L93,TXN-A-000047,TXN-B-000047-L94,TXN-B-000047,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0040,PRD-0040,ZENITH File Folder Pack 750 ML,ZENITH File Folder Pack 750 ML,583.10,583.10,5.19,5.19,112.35,112.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000048-L95,TXN-A-000048,TXN-B-000048-L96,TXN-B-000048,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0090,PRD-0090,NEXUS Face Cream 100 MG,NEXUS Face Cream 100 MG,131.20,131.20,6.56,6.56,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000049-L97,TXN-A-000049,TXN-B-000049-L98,TXN-B-000049,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0138,PRD-0138,NEXUS Scissors 500 MG,NEXUS Scissors 500 MG,543.41,543.41,5.64,5.64,96.35,96.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000050-L99,TXN-A-000050,TXN-B-000050-L100,TXN-B-000050,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0095,PRD-0095,AURORA Lotion 1 KG,AURORA Lotion 1 KG,764.47,764.47,6.52,6.52,117.25,117.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000051-L101,TXN-A-000051,TXN-B-000051-L102,TXN-B-000051,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0087,PRD-0087,NEXUS Deodorant 9 V,NEXUS Deodorant 9 V,1119.74,1119.74,9.60,9.60,116.64,116.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000052-L103,TXN-A-000052,TXN-B-000052-L104,TXN-B-000052,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0015,PRD-0015,NEXUS Fabric Softener 200 G,NEXUS Fabric Softener 200 G,448.21,448.21,9.46,9.46,47.38,47.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000053-L105,TXN-A-000053,TXN-B-000053-L106,TXN-B-000053,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0146,PRD-0146,AURORA Screwdriver Set 500 ML,AURORA Screwdriver Set 500 ML,503.03,503.03,5.50,5.50,91.46,91.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000054-L107,TXN-A-000054,TXN-B-000054-L108,TXN-B-000054,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0070,PRD-0070,ZENITH Mouse Pad 200 G,ZENITH Mouse Pad 200 G,985.42,985.42,8.66,8.66,113.79,113.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000055-L109,TXN-A-000055,TXN-B-000055-L110,TXN-B-000055,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0104,PRD-0104,AURORA Measuring Cup 10000 MAH,AURORA Measuring Cup 10000 MAH,555.57,555.57,8.12,8.12,68.42,68.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000056-L111,TXN-A-000056,TXN-B-000056-L112,TXN-B-000056,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0110,PRD-0110,AURORA Storage Container 5 W,AURORA Storage Container 5 W,59.34,59.34,1.33,1.33,44.62,44.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000057-L113,TXN-A-000057,TXN-B-000057-L114,TXN-B-000057,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0042,PRD-0042,NEXUS File Folder Pack 500 G,NEXUS File Folder Pack 500 G,438.63,438.63,6.44,6.44,68.11,68.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000058-L115,TXN-A-000058,TXN-B-000058-L116,TXN-B-000058,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0042,PRD-0042,NEXUS File Folder Pack 500 G,NEXUS File Folder Pack 500 G,617.76,617.76,9.07,9.07,68.11,68.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
