table,field,issue_type,severity,description,record_key
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002038-L01,TXN-A-002038-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002038-L01,TXN-A-002038-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002039-L01,TXN-A-002039-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002039-L01,TXN-A-002039-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002040-L01,TXN-A-002040-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002040-L01,TXN-A-002040-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002041-L01,TXN-A-002041-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002041-L01,TXN-A-002041-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002042-L01,TXN-A-002042-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002042-L01,TXN-A-002042-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002043-L01,TXN-A-002043-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002043-L01,TXN-A-002043-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002044-L01,TXN-A-002044-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002044-L01,TXN-A-002044-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002045-L01,TXN-A-002045-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002045-L01,TXN-A-002045-L01
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!94#' is not well formed,PRD!94#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!16#' is not well formed,PRD!16#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!05#' is not well formed,PRD!05#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!64#' is not well formed,PRD!64#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!96#' is not well formed,PRD!96#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!68#' is not well formed,PRD!68#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!12#' is not well formed,PRD!12#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!92#' is not well formed,PRD!92#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!82#' is not well formed,PRD!82#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!51#' is not well formed,PRD!51#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!79#' is not well formed,PRD!79#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!70#' is not well formed,PRD!70#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!37#' is not well formed,PRD!37#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!31#' is not well formed,PRD!31#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!03#' is not well formed,PRD!03#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!37#' is not well formed,PRD!37#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!87#' is not well formed,PRD!87#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!87#' is not well formed,PRD!87#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!94#' is not well formed,PRD!94#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!39#' is not well formed,PRD!39#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!27#' is not well formed,PRD!27#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!03#' is not well formed,PRD!03#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!68#' is not well formed,PRD!68#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!37#' is not well formed,PRD!37#
source_a_lines,product_id,MALFORMED_IDENTIFIER,ERROR,Identifier 'PRD!49#' is not well formed,PRD!49#
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,quantity,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in quantity,N/A
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,unit_price,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in unit_price,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'N/A' in amount,N/A
source_a_lines,amount,INVALID_NUMERIC,ERROR,Non-numeric value 'ERR' in amount,ERR
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH7013' not found in master data,PRD-ORPH7013
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH7366' not found in master data,PRD-ORPH7366
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH6989' not found in master data,PRD-ORPH6989
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH5315' not found in master data,PRD-ORPH5315
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH3521' not found in master data,PRD-ORPH3521
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH7129' not found in master data,PRD-ORPH7129
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH6319' not found in master data,PRD-ORPH6319
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH4212' not found in master data,PRD-ORPH4212
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH3090' not found in master data,PRD-ORPH3090
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH4711' not found in master data,PRD-ORPH4711
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH7953' not found in master data,PRD-ORPH7953
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH6574' not found in master data,PRD-ORPH6574
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH7242' not found in master data,PRD-ORPH7242
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH3618' not found in master data,PRD-ORPH3618
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH1902' not found in master data,PRD-ORPH1902
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH1096' not found in master data,PRD-ORPH1096
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH2055' not found in master data,PRD-ORPH2055
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH6081' not found in master data,PRD-ORPH6081
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH8357' not found in master data,PRD-ORPH8357
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH4328' not found in master data,PRD-ORPH4328
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH8787' not found in master data,PRD-ORPH8787
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH9535' not found in master data,PRD-ORPH9535
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH1092' not found in master data,PRD-ORPH1092
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH3067' not found in master data,PRD-ORPH3067
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH5488' not found in master data,PRD-ORPH5488
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH7021' not found in master data,PRD-ORPH7021
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH5410' not found in master data,PRD-ORPH5410
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH8230' not found in master data,PRD-ORPH8230
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH5321' not found in master data,PRD-ORPH5321
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-ORPH5342' not found in master data,PRD-ORPH5342
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!94#' not found in master data,PRD!94#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!16#' not found in master data,PRD!16#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!05#' not found in master data,PRD!05#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!64#' not found in master data,PRD!64#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!96#' not found in master data,PRD!96#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!68#' not found in master data,PRD!68#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!12#' not found in master data,PRD!12#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!92#' not found in master data,PRD!92#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!82#' not found in master data,PRD!82#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!51#' not found in master data,PRD!51#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!79#' not found in master data,PRD!79#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!70#' not found in master data,PRD!70#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!37#' not found in master data,PRD!37#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!31#' not found in master data,PRD!31#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!03#' not found in master data,PRD!03#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!37#' not found in master data,PRD!37#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!87#' not found in master data,PRD!87#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!87#' not found in master data,PRD!87#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!94#' not found in master data,PRD!94#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!39#' not found in master data,PRD!39#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!27#' not found in master data,PRD!27#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!03#' not found in master data,PRD!03#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!68#' not found in master data,PRD!68#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!37#' not found in master data,PRD!37#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD!49#' not found in master data,PRD!49#
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR9555' not found in master data,PRD-UNR9555
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR6780' not found in master data,PRD-UNR6780
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR8974' not found in master data,PRD-UNR8974
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR9956' not found in master data,PRD-UNR9956
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR5300' not found in master data,PRD-UNR5300
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR8478' not found in master data,PRD-UNR8478
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR7833' not found in master data,PRD-UNR7833
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR7791' not found in master data,PRD-UNR7791
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR6448' not found in master data,PRD-UNR6448
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR9285' not found in master data,PRD-UNR9285
source_a_lines,product_id,MISSING_MASTER_RECORD,BUSINESS_ANOMALY,Product 'PRD-UNR9773' not found in master data,PRD-UNR9773
